Name,Quantity,Component
"U1",1," Arduino Uno R3"
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13",13,"220 Ω Resistor"
"D1",1,"Red LED"
"D2",1,"Yellow LED"
"D3",1,"Green LED"
"Rpot1",1,"10 kΩ Potentiometer"
"DIST1, DIST2",2," Ultrasonic Distance Sensor"
"D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",10,"Blue LED"
"PIEZO1",1," Piezo"
